,filename,uuid,duration,zero_crossing_rate,tempo,dynamic_range,rms_mean,rms_std,harmonic_rms,percussive_rms,spectral_centroid_mean,spectral_centroid_std,HPR,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,chroma_stft_mean,chroma_stft_std,chroma_cens_mean,chroma_cens_std,spectral_contrast_mean,spectral_contrast_std,spectral_flatness_mean,spectral_flatness_std,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_14_mean,mfcc_14_std,mfcc_15_mean,mfcc_15_std,mfcc_16_mean,mfcc_16_std,mfcc_17_mean,mfcc_17_std,mfcc_18_mean,mfcc_18_std,mfcc_19_mean,mfcc_19_std
0,af918a47-02af-4064-ac69-c46732d17496,af918a47-02af-4064-ac69-c46732d17496_0,2.8789569160997734,0.028466009324596774,83.35433467741936,17.183074082277386,2158.05,1562.0201,1803.0055,605.36523,963.4926930200097,289.4260013803197,0.9413568186600139,1615.8924283312622,339.7164096469687,2142.9878480972784,1058.2855782892943,0.27198207,0.31236553,0.19705385382079013,0.21095760718141454,20.77394845249571,5.548894684006946,0.00032107884,0.0003655858,687.31476,71.28351,123.240425,29.810575,14.31012,26.227211,67.98017,11.576769,14.498319,8.047077,24.949959,8.658385,8.507149,6.272751,12.118586,7.9671617,3.7368724,5.6562643,5.552486,5.7010517,-1.6006781,6.5670834,-9.100269,6.0299807,-2.1754944,6.8129287,3.500497,5.448286,4.7995424,5.322215,-3.831833,5.3897495,-8.21937,5.7328672,-4.049472,6.2594304,2.7122316,4.9554663,5.454936,7.3622627
1,af918a47-02af-4064-ac69-c46732d17496,af918a47-02af-4064-ac69-c46732d17496_1,2.879002267573696,0.06153525075604839,143.5546875,18.69707738342501,2373.0906,1724.2886,1472.0734,1246.5627,1343.1042054836532,470.90988267878026,1.005965553738093,1585.8820342611318,378.5941573364638,2726.2077085433466,1127.3491736333344,0.31827337,0.31173536,0.243190747146575,0.15553647107872792,21.03812325968879,6.1129962114567835,0.00080798386,0.0010364045,736.8399,97.38189,124.29094,28.096062,-20.01783,49.117252,59.064556,13.384873,6.32462,13.85924,20.932985,12.737205,4.3647137,10.303625,12.896653,9.610847,-3.6546743,9.54511,12.405207,8.820695,5.822796,5.954464,-4.428944,7.6442494,-0.03465318,6.374143,3.2133238,7.236382,1.4397628,7.142115,-4.1621876,6.8397446,-7.4203825,9.55902,-0.6853371,12.457345,4.17765,15.372591,4.0277567,14.251276
2,af918a47-02af-4064-ac69-c46732d17496,af918a47-02af-4064-ac69-c46732d17496_2,2.879002267573696,0.05653036794354839,135.99917763157896,17.359576703973943,2136.1113,1006.4588,1657.3612,723.1667,1232.654083924752,472.20129140800697,1.0193933040686627,1513.5095320478713,249.59108534032524,2420.9224577872983,822.0274120152582,0.27170447,0.31111383,0.23411648642553978,0.16888695662215417,21.484992495086253,6.658625254008146,0.00038661214,0.00041760757,715.10846,84.34784,124.12359,24.02555,-12.728022,45.376823,70.06015,21.37882,11.249259,8.667033,14.568586,16.301926,2.8721929,9.237623,12.028038,6.4128947,-5.9271626,8.419031,12.2335,8.51737,3.2641811,7.305864,-0.93433607,6.900856,0.33989358,9.2151575,-0.7874045,6.052193,0.14407478,5.4441495,-3.1801383,7.7582192,-10.48307,7.4632664,-5.7155886,5.069893,5.752574,8.815529,9.280833,15.673746
3,af918a47-02af-4064-ac69-c46732d17496,af918a47-02af-4064-ac69-c46732d17496_3,2.879002267573696,0.04707582535282258,135.99917763157896,16.71728290654309,1921.105,929.4117,1607.6128,550.0671,1316.0435594704952,386.95311738143766,1.026675362791456,1651.3126892026373,304.58618543429225,2851.9338300151207,1038.3548648636786,0.27441266,0.315712,0.22776963003709388,0.17735368326059295,21.985561626589895,6.451909229115131,0.0005434073,0.0006584456,717.2094,77.12549,120.96925,26.454586,-12.461638,41.92592,76.33979,21.480732,7.5189924,12.286713,22.622007,12.4193535,0.47690317,8.150282,12.832173,8.21097,-3.0524623,11.444729,5.491732,10.970482,1.8578144,9.5041685,-4.222669,8.025406,-0.40965933,8.911801,1.0183514,6.055775,-0.37871665,9.501431,7.815577,8.743066,-1.9072707,8.322871,-2.8579814,6.9019184,3.2417185,6.190395,-6.3034124,8.606876
4,af918a47-02af-4064-ac69-c46732d17496,af918a47-02af-4064-ac69-c46732d17496_4,2.879002267573696,0.05066311743951613,83.35433467741936,19.675057034495353,1776.0513,1187.2065,1292.386,704.11743,1153.9518833868565,278.8390724818286,1.049958256804141,1664.589516286843,236.03691784664585,2712.923111454133,911.2767735375321,0.29097313,0.30056244,0.22755749872816652,0.17762578108459887,22.84312317279339,5.511356846365429,0.0004772472,0.00045121223,716.3071,60.633392,123.96131,22.872896,8.491005,18.509573,74.975876,10.90074,3.2714791,9.442529,21.38592,7.1459823,8.336389,8.402699,12.348077,9.334483,-2.0436208,8.777179,-5.3944416,8.780082,-3.581492,5.322068,-7.795453,7.9490733,-3.742839,8.567927,0.32968965,7.392341,11.511383,6.009658,10.070464,10.042364,-2.28136,8.712293,-4.714451,6.393735,-3.3161395,6.4687557,-1.3924787,10.432495
5,af918a47-02af-4064-ac69-c46732d17496,af918a47-02af-4064-ac69-c46732d17496_5,2.879002267573696,0.05664850050403226,83.35433467741936,17.980980815454643,1751.8989,1261.1818,1230.4376,710.045,1158.282183370173,403.2416354513453,1.0872471598780826,1574.7759367612248,238.19049702431656,2356.4096758442543,917.7901020227077,0.3297442,0.30745077,0.23311801259212134,0.17026251947634538,22.017256432030074,5.693552006216682,0.0004385973,0.00040361952,708.90497,78.13775,127.87145,26.94024,1.9731584,30.910343,62.9747,14.0067835,7.3415585,11.847907,12.767912,14.492433,1.18161,10.561099,10.660504,7.9717693,-2.2108245,7.5486546,6.3725634,9.621255,2.2495837,8.479553,-5.1791143,9.535398,0.89768684,7.703267,3.4849343,7.967661,2.471271,7.2681108,-1.3912805,7.866493,-5.544406,11.493716,-0.51346606,12.792099,13.854738,12.16198,10.856985,9.400341
6,af918a47-02af-4064-ac69-c46732d17496,af918a47-02af-4064-ac69-c46732d17496_6,2.879002267573696,0.04668205015120968,129.19921875,22.547524270065594,2518.5474,2294.8008,1724.424,1112.2261,1142.4787672007046,293.28824683343373,1.052086767323795,1541.150536683345,246.21344107751568,2258.9892971900204,788.7833408550491,0.27284512,0.3107045,0.23254146869185563,0.17104911187132207,21.85393117343456,5.964562736002752,0.00042041566,0.00033626365,730.55005,97.56226,131.05962,23.480694,0.38744023,44.187912,53.061657,12.542139,2.9518661,13.774927,12.918172,14.429349,2.283042,13.126842,4.573192,11.312653,-9.287133,12.1556835,-0.4798629,10.039543,6.830886,8.177163,2.396982,9.6490345,6.2332277,7.240862,1.031172,8.62653,0.023616292,8.966578,0.9984002,6.0657578,-3.6343415,7.106466,2.8395343,9.355618,12.648578,10.23923,1.7050631,10.852636
7,af918a47-02af-4064-ac69-c46732d17496,af918a47-02af-4064-ac69-c46732d17496_7,2.879002267573696,0.05922379032258065,123.046875,16.490135367460198,2025.624,1206.7235,1575.2206,718.657,1280.3207614292237,365.44573109612696,1.0407682491901973,1551.138487415295,272.456717564165,2624.9669228830644,794.956764871061,0.28452283,0.29789215,0.2414942970419101,0.15815763601409516,22.786038851714043,5.883618777333815,0.00054613425,0.0005645879,736.3523,75.22054,133.16368,20.875908,-18.231697,37.242283,58.175213,16.246265,2.7556977,14.1307,16.998472,12.971639,-6.441133,8.596469,5.1983056,9.304523,-9.685139,11.627035,10.671771,11.571817,8.789452,10.464113,0.6852799,8.892751,1.1363976,8.051133,3.01903,6.6969724,2.4560342,6.310805,0.63338053,7.989757,-5.4608116,5.5291595,1.3418524,9.392927,9.322074,11.544699,1.6813698,11.493801
8,af918a47-02af-4064-ac69-c46732d17496,af918a47-02af-4064-ac69-c46732d17496_8,2.879002267573696,0.03601467993951613,83.35433467741936,16.421704121556644,1741.0674,1110.9932,1292.7825,658.91205,1110.3510964277418,337.92145007956196,0.9733149931224209,1682.8062814516059,287.4330676552013,2449.5755103326615,1063.259590324648,0.28336695,0.3074679,0.2208669140181645,0.1858793684770477,20.22653484363629,6.078082661846011,0.00047109128,0.00041866023,697.0878,87.568954,128.0135,27.044487,8.376321,29.780294,66.942276,11.200271,1.6092817,20.293522,20.939562,15.291365,-1.1549224,9.2157755,10.9720335,7.781654,-4.0111313,6.7383685,3.5102751,9.062908,1.3890299,6.2392454,1.011083,8.063049,5.567262,6.7753234,6.4371195,6.007939,3.6834269,4.62397,-0.16290045,4.279338,-4.7360396,7.3386154,2.5703032,6.433357,11.597712,9.148117,4.4910216,7.5933566
9,af918a47-02af-4064-ac69-c46732d17496,af918a47-02af-4064-ac69-c46732d17496_9,2.879002267573696,0.07829038558467742,135.99917763157896,18.335105780267327,3255.425,1865.2201,2359.8042,1262.9243,1454.642668683368,417.3187678778893,1.0218316672041277,1502.7356822648903,160.48046321455607,2896.736784904234,529.8812049379426,0.2794491,0.32115176,0.23915816087876454,0.16166851090555728,24.074047715486444,6.200647987847464,0.00045115073,0.00039387663,785.7944,61.11047,122.26668,26.12662,-25.965204,25.382904,65.80168,20.015713,0.47798178,13.654372,6.9772515,9.918635,-6.7130327,11.136239,-3.4914978,9.128804,-7.6885924,6.473148,3.235483,12.007339,4.462007,11.295958,1.3945806,14.611075,7.7946067,7.165913,-2.0973141,12.034939,4.3927946,10.520641,10.614201,12.350586,-2.251538,19.520176,4.959963,13.259903,13.892604,9.515361,1.5952114,17.582426
